Company,Industry,Stage,Country,Market Condition,Remote Policy,Company Size,Company Age,Location HQ(Encoded),Funds Raised ($M),Revenue ($M),Burn Rate,Industry Growth (%),Year,Month,Actual Layoffs
CloudLabs,Legal,Series B,Seychelles,Recession,Office,183,4,163,26.8,49.42,7,-0.012,2020,8,16
NexusSystems,Travel,Subsidiary,Egypt,Recession,Hybrid,2116,46,37,586,684.59,18,0.024,2023,4,289
GoTo,Product,Series I,United States,Recession,Office,2150,20,201,1525.5,426.71,10,0.05,2020,11,492
DigitalInc,Data,Series I,United Kingdom,Recession,Remote,2519,13,46,1096.7,654.06,9,-0.042,2020,6,512
GlobalInc,Transportation,Subsidiary,Australia,Recession,Remote,1549,30,212,1166.7,378.75,9,0.067,2023,3,467
CloudInc,Other,Series I,Uruguay,Recovery,Hybrid,2179,14,147,1434.7,940.52,18,0.049,2021,4,541
CloudSystems,Real Estate,Series J,Russia,Recession,Remote,2690,12,149,1995.7,532.27,7,0.027,2023,2,331
DigitalTechnologies,Food,Series D,Lithuania,Recovery,Hybrid,566,5,226,174.4,125.48,11,0.048,2024,5,116
SmartCorp,Education,Series J,Bulgaria,Recovery,Hybrid,2365,17,206,1737.1,607.04,13,0.075,2024,9,340
CloudTechnologies,Crypto,Series G,Australia,Recovery,Remote,1236,13,212,747.3,384.4,13,-0.08,2021,3,170
CloudInc,HR,Series I,Spain,Downturn,Office,1797,13,13,1525.9,715.25,18,-0.06,2022,9,232
Ledn,Education,Series G,Argentina,Recovery,Hybrid,1388,9,35,832.3,638.21,11,-0.073,2024,3,329
NexusLabs,Manufacturing,Private Equity,Ukraine,Recession,Office,3696,9,114,1532.6,1460.91,21,-0.095,2020,9,433
Twine Solutions ,Legal,Seed,Spain,Recovery,Remote,18,1,13,2.3,6.5,10,-0.024,2021,3,3
LoopMe,Crypto,Unknown,Argentina,Recovery,Remote,607,2,35,67.6,150.42,13,-0.069,2021,4,178
Lendingkart,Finance,Series B,Mexico,Recession,Office,266,5,146,22.6,120.45,17,-0.04,2020,4,27
GlobalInc,Consumer,Seed,Ireland,Stable,Office,28,3,64,2.3,9.74,12,0.048,2023,10,5
Qualcomm,Hardware,Series H,Switzerland,Recession,Remote,1375,10,208,926.1,169.25,7,0.04,2023,9,297
GOAT Group,Recruiting,Series E,Mexico,Downturn,Remote,636,11,82,324.5,160.65,15,-0.067,2022,12,133
Incredibuild,Media,Private Equity,Kenya,Recession,Hybrid,7124,21,152,1270.8,1532.81,7,-0.017,2020,9,1384
QuantumSystems,Consumer,Series I,Japan,Recession,Office,2644,20,217,1896.1,1027.44,13,-0.027,2023,4,699
QuantumInc,AI,Series E,United Arab Emirates,Downturn,Office,519,13,63,248.3,145.33,12,-0.007,2022,12,81
AIDynamics,Data,Subsidiary,United Arab Emirates,Recession,Hybrid,4871,10,63,232.1,1937.33,16,-0.03,2020,4,349
QuantumCorp,Infrastructure,Series J,Pakistan,Recovery,Hybrid,2368,13,106,2097.7,933.52,13,0.018,2024,10,751
DSCO,Recruiting,Subsidiary,Egypt,Recovery,Hybrid,5255,38,37,525.7,1295.77,19,0.006,2024,7,1151
Sanar,Transportation,Series I,Cayman Islands,Recession,Hybrid,1827,10,40,1189.7,518.43,19,0.082,2023,1,608
DigitalInnovations,Construction,Series C,Ghana,Recession,Office,296,4,1,80.3,92.9,15,0.042,2020,10,43
AIInc,Unknown,Series A,China,Recovery,Remote,38,3,163,9.5,12.23,18,0.002,2021,1,5
DigitalTechnologies,Healthcare,Series B,Denmark,Recovery,Remote,178,4,53,20.3,44.98,14,0.058,2024,11,44
DataVentures,Food,Seed,Mexico,Recovery,Hybrid,34,1,146,2.7,4.44,8,0.056,2024,10,7
DataInnovations,Security,Series D,Egypt,Downturn,Office,405,5,37,93.7,98.16,8,-0.081,2022,4,29
ApexDynamics,Other,Series C,Colombia,Recession,Office,336,4,24,67,90.92,16,-0.024,2020,5,61
Pulse Secure,Retail,Series I,Saudi Arabia,Recession,Office,1219,13,186,1458.6,437.38,21,-0.01,2020,5,328
Shippo,Marketing,Seed,Singapore,Recovery,Remote,27,2,205,3.5,8.82,16,0.024,2021,5,4
DigitalInnovations,Other,Post-IPO,United States,Stable,Office,4223,29,196,2309.7,1335.68,12,0.011,2020,1,1378
Apartment List,Security,Series D,Singapore,Downturn,Hybrid,607,10,205,135.9,97.29,15,0.015,2022,6,118
DigitalInnovations,Media,Series D,Belgium,Recovery,Remote,515,7,79,169.7,201.22,14,-0.056,2021,4,164
GlobalSystems,Finance,Series B,Singapore,Recession,Remote,107,5,205,37.3,15.93,23,-0.065,2023,5,24
ApexTechnologies,Consumer,Series F,New Zealand,Recession,Hybrid,1012,10,9,493.1,337.87,14,0.022,2020,10,97
SWVL,Security,Private Equity,France,Growth,Office,1536,32,219,870.1,302.45,11,0.066,2021,11,142
DigitalSystems,Crypto,Private Equity,Russia,Recovery,Remote,1129,31,149,1170.9,333.88,10,-0.053,2021,6,65
DigitalCorp,Education,Series I,Germany,Recession,Hybrid,1455,16,107,1408,630.21,11,-0.029,2023,5,368
AITechnologies,Logistics,Series F,Saudi Arabia,Recovery,Hybrid,1169,13,186,311,235.6,12,-0.042,2024,5,158
Vendease,AI,Series H,Philippines,Recovery,Remote,1888,16,137,1067.4,281.58,11,-0.064,2021,7,340
AIInnovations,Food,Acquired,United States,Recession,Hybrid,2991,18,18,492.5,1175.32,15,0.029,2020,4,311
Bukalapak,Real Estate,Series E,South Africa,Recession,Hybrid,1002,10,39,322.9,186.38,18,-0.046,2020,4,103
Yapily,Education,Series F,Myanmar,Recovery,Remote,1086,12,236,423.6,358.01,15,-0.013,2021,3,398
NexusSystems,Recruiting,Subsidiary,China,Stable,Office,3422,19,235,1283.2,917.89,22,0.024,2023,12,1012
AISolutions,Transportation,Series C,Luxembourg,Recession,Hybrid,358,4,130,58.3,107.12,19,0.047,2023,4,54
Intuit,Fitness,Series I,Egypt,Recovery,Hybrid,1615,17,37,950.9,260.85,17,-0.073,2024,6,184
DataTechnologies,Data,Private Equity,Nigeria,Stable,Office,2117,30,115,1471.7,581.76,15,-0.021,2022,3,424
NexusVentures,AI,Seed,Saudi Arabia,Growth,Hybrid,32,3,186,3.5,8.32,9,-0.015,2021,12,2
Indeed,Travel,Series C,South Korea,Recession,Hybrid,251,7,202,65.9,111.53,17,0.066,2020,6,46
NexusGroup,Real Estate,Seed,Seychelles,Recovery,Remote,39,2,224,1.8,11.32,12,0.034,2021,7,6
Practically,Logistics,Unknown,Cayman Islands,Recession,Hybrid,1305,19,40,56.7,446.85,16,-0.069,2020,7,179
ApexCorp,Aerospace,Series C,Norway,Downturn,Office,349,6,77,58,68.44,19,0.017,2022,7,113
NexusTechnologies,Education,Series G,Philippines,Downturn,Hybrid,1451,12,137,707.2,283.29,14,-0.023,2022,8,266
NexusSolutions,Legal,Series F,Chile,Growth,Remote,1139,14,197,454.5,255.34,12,0.01,2021,12,288
AIGroup,Aerospace,Series C,Ukraine,Recession,Office,245,4,114,79.7,92.73,12,-0.003,2020,11,89
Kevin,Energy,Post-IPO,Ireland,Recession,Hybrid,14030,39,64,2569.7,5852.1,18,-0.038,2023,6,4169
DigitalLabs,Food,Seed,Finland,Stable,Hybrid,39,2,90,4.5,14.53,10,0.084,2023,11,10
DigitalSolutions,Recruiting,Private Equity,Bulgaria,Recession,Office,4264,19,206,755.9,1095.39,15,0.022,2020,10,562
QuantumInnovations,Recruiting,Series G,Czech Republic,Recovery,Hybrid,1428,16,178,658.5,460.37,10,0.025,2024,3,196
TechTechnologies,HR,Series F,Germany,Recession,Office,1049,10,76,448.8,368.81,9,0.012,2020,3,310
Borrowell,Sales,Private Equity,Chile,Recession,Office,8562,23,197,997,1973.93,9,0.002,2020,8,1416
TechGroup,Infrastructure,Series G,Romania,Recovery,Hybrid,1382,10,50,922.3,643.3,12,0.025,2024,4,203
DataInnovations,Construction,Series I,Egypt,Recession,Office,2174,11,37,1421.3,424.35,11,-0.042,2020,11,424
QuantumInc,Energy,Unknown,Philippines,Recession,Office,514,19,137,23.7,146.43,13,0.005,2020,5,91
NexusTechnologies,Real Estate,Seed,Seychelles,Stable,Hybrid,30,3,163,2.3,8.39,18,-0.132,2024,2,6
QuantumLabs,Marketing,Seed,China,Recovery,Hybrid,35,2,235,3.1,7.22,14,-0.016,2024,3,6
TechSolutions,Unknown,Series D,Japan,Downturn,Office,541,9,217,110.7,87.01,23,-0.027,2022,9,81
QuantumDynamics,Data,Series A,Estonia,Recovery,Hybrid,83,5,213,9.9,26.42,11,-0.004,2021,7,9
CloudLabs,Crypto,Series E,Israel,Recession,Office,833,11,182,341.8,275.76,15,-0.05,2020,9,222
TechSystems,Other,Private Equity,South Korea,Recovery,Hybrid,5623,33,202,885.1,1946.47,7,-0.055,2024,8,650
Nativo,Travel,Series B,Pakistan,Downturn,Hybrid,201,7,116,28.5,33.61,20,-0.008,2022,10,32
Ibotta,Food,Series I,Netherlands,Recovery,Remote,2181,21,222,1114.3,789.02,13,-0.021,2021,6,689
ApexSolutions,Product,Series F,India,Recovery,Hybrid,1173,14,83,441.3,156.19,11,-0.002,2021,2,227
DigitalSolutions,Security,Private Equity,Chile,Stable,Office,6245,8,197,1086.7,3040.34,8,-0.026,2020,2,1015
QuantumDynamics,Logistics,Series A,Sweden,Downturn,Hybrid,115,3,133,8.5,22.71,13,0.032,2022,5,24
OutSystems,Consumer,Subsidiary,Singapore,Growth,Hybrid,1420,13,205,1119,403.27,13,-0.045,2021,9,289
TechSystems,AI,Series F,Canada,Recovery,Hybrid,910,12,230,586.8,178.38,18,-0.011,2021,6,155
TechInnovations,Crypto,Series E,Netherlands,Recovery,Hybrid,844,11,5,271,175.16,15,-0.109,2024,4,313
AITechnologies,Healthcare,Series A,Saudi Arabia,Recession,Hybrid,84,4,186,13,32.38,12,-0.006,2023,7,19
Voly,Retail,Series B,Australia,Recovery,Hybrid,172,6,212,31.6,32.97,15,-0.083,2024,7,32
dbt Labs,AI,Acquired,Australia,Stable,Hybrid,2251,30,138,369,339.73,12,0.011,2024,1,374
GlobalTechnologies,AI,Series A,Egypt,Recession,Hybrid,60,4,37,9.1,17.89,13,0.011,2023,4,10
DigitalInc,Media,Subsidiary,South Korea,Recovery,Office,6008,2,202,454.2,1640.49,13,-0.013,2024,4,1794
AIDynamics,Sales,Acquired,Spain,Recovery,Hybrid,2454,19,132,598.2,677.24,19,0.009,2024,9,398
Starship Technologies,Product,Series I,Belgium,Downturn,Office,2023,17,79,1204.1,605.2,15,-0.006,2022,4,480
Textio,Hardware,Unknown,United Arab Emirates,Recession,Hybrid,1053,2,63,25.8,265.78,12,0.027,2020,12,190
QuantumVentures,Security,Series F,Turkey,Stable,Hybrid,859,13,99,427.4,183.26,14,-0.029,2022,3,128
CloudTechnologies,Construction,Series D,Cayman Islands,Recovery,Hybrid,537,8,40,91.1,256.61,10,0.049,2024,6,119
CloudInc,Hardware,Seed,Austria,Recession,Remote,23,1,225,3.3,4.8,19,-0.013,2020,8,3
SmartCorp,Real Estate,Acquired,Lithuania,Recovery,Hybrid,4336,8,226,494.9,1875.9,10,-0.078,2024,7,1548
QuantumVentures,Product,Series A,Nigeria,Recovery,Remote,134,4,115,8,39.34,13,-0.043,2024,10,30
SmartSystems,Data,Private Equity,Netherlands,Recession,Remote,3744,21,222,1012.1,1410.45,19,0.019,2020,3,979
CloudLabs,Legal,Series I,Sweden,Recovery,Remote,2586,13,133,1528.9,616.05,15,-0.046,2024,12,734
GlobalLabs,Recruiting,Post-IPO,Turkey,Downturn,Hybrid,6228,11,99,968.1,2121.71,8,0,2022,5,937
Pipl,Logistics,Series J,Philippines,Downturn,Office,2590,12,137,2068.8,850.84,12,0.016,2022,8,615
DigitalSolutions,Consumer,Series F,Canada,Recession,Hybrid,1044,14,169,402.8,248.86,19,-0.061,2023,8,233
QuantumSystems,Manufacturing,Unknown,Hong Kong,Recovery,Hybrid,645,16,92,38,267.01,10,0.047,2024,6,141
NexusCorp,Infrastructure,Series E,Germany,Growth,Remote,614,9,44,265.6,187.76,10,0.049,2021,11,124
Shef,Consumer,Subsidiary,Austria,Recession,Office,6137,8,122,418.4,1502.87,17,-0.059,2020,7,943
Cowbell,Media,Series J,Portugal,Downturn,Hybrid,2622,17,123,1274.5,1139.23,19,0.002,2022,6,936
NexusSystems,HR,Series I,Myanmar,Recession,Office,1820,15,236,1146.2,746.83,15,0.044,2023,3,670
GlobalLabs,HR,Series I,Austria,Recovery,Hybrid,1497,15,225,1500,378.01,15,-0.016,2024,12,389
DataCorp,Retail,Post-IPO,Canada,Downturn,Remote,12187,20,223,1889.5,3127.27,7,0.056,2022,4,2430
TechCorp,Support,Series B,Argentina,Downturn,Hybrid,147,3,35,25.6,34.04,17,0.029,2022,11,22
SmartInnovations,Aerospace,Post-IPO,Argentina,Recovery,Hybrid,6130,13,35,1441.1,2459.12,11,0.004,2021,2,2225
ApexSystems,Construction,Private Equity,Argentina,Stable,Remote,5989,6,35,826.7,1561.3,17,0.019,2023,11,852
Addi,HR,Acquired,Uruguay,Recession,Hybrid,1769,16,147,283.9,293.57,19,0.056,2023,7,259
GlobalInc,Support,Series D,Estonia,Recovery,Office,564,11,213,125.6,177.51,14,-0.055,2021,3,163
GlobalInc,Education,Series D,Norway,Downturn,Hybrid,728,9,194,97.8,197.5,22,0.001,2022,8,154
QuantumVentures,Energy,Unknown,Portugal,Recession,Hybrid,959,4,123,81.1,232.24,14,0.039,2020,7,169
SmartDynamics,Support,Acquired,Thailand,Recovery,Hybrid,3311,18,12,610.2,995.38,15,-0.074,2024,10,605
DataInnovations,Consumer,Subsidiary,Italy,Stable,Remote,2993,45,142,634.9,838.74,9,0.05,2022,1,498
DataInnovations,Infrastructure,Series G,South Africa,Stable,Remote,1454,12,39,424.6,390.44,14,0.006,2022,3,456
NexusInc,Hardware,Series B,Hong Kong,Recovery,Office,199,4,92,30.4,51.13,7,-0.013,2021,6,42
SmartGroup,Support,Series E,Russia,Recession,Office,805,6,149,313,279.76,8,-0.007,2020,10,68
AISolutions,Product,Private Equity,Saudi Arabia,Recession,Hybrid,8132,19,186,1166.3,1657.71,14,0.005,2023,5,1352
Dynamic Signal,Infrastructure,Series A,Kenya,Recovery,Hybrid,84,5,152,9.4,15.44,7,0,2021,7,18
QuantumInnovations,Retail,Series G,India,Recovery,Office,1316,8,83,774.7,382.67,20,0.007,2024,5,142
ApexCorp,Media,Subsidiary,Brazil,Recession,Office,3986,32,104,565.1,1246.06,14,0.014,2020,3,532
DataDynamics,Real Estate,Series J,France,Recovery,Remote,1976,14,171,2163.4,452.49,10,-0.003,2021,8,184
Everquote,Education,Series E,New Zealand,Downturn,Hybrid,552,7,9,274.8,134.89,13,-0.037,2022,8,136
Bryter,Education,Series C,Bulgaria,Growth,Remote,194,7,206,68.3,42.22,11,-0.079,2021,9,28
CloudLabs,Sales,Series B,Ukraine,Recession,Office,146,4,114,35.2,45.74,13,-0.045,2023,9,51
DigitalLabs,Infrastructure,Seed,Pakistan,Downturn,Remote,25,2,106,2.3,3.68,13,-0.029,2022,6,3
DataInc,Energy,Subsidiary,Romania,Recovery,Remote,3102,32,50,333.3,831.34,7,-0.023,2021,6,428
TechDynamics,Real Estate,Series F,Peru,Downturn,Hybrid,1073,15,121,507.9,423.13,7,-0.064,2022,5,162
DigitalInnovations,Infrastructure,Post-IPO,Hungary,Recovery,Office,6041,45,34,3197.5,1460.13,11,0.021,2021,7,1212
GlobalInc,Energy,Series J,Estonia,Downturn,Office,2228,15,213,1989.4,659.69,12,0.046,2022,7,511
UserTesting,Other,Series A,Poland,Stable,Hybrid,71,2,112,10.1,20.14,14,0.001,2022,3,24
QuantumVentures,Real Estate,Series B,Norway,Downturn,Hybrid,153,7,77,37.2,38.4,8,0.036,2022,4,37
NexusVentures,Logistics,Seed,Philippines,Recovery,Hybrid,34,2,137,3.8,13.21,13,-0.013,2021,7,3
GlobalDynamics,Hardware,Post-IPO,Nigeria,Recession,Remote,2733,36,0,1099.3,534.05,14,-0.003,2020,8,334
QuantumGroup,Food,Series C,Norway,Recovery,Remote,395,5,77,92.1,88.53,14,-0.018,2021,1,65
Career Karma,Transportation,Series J,Luxembourg,Downturn,Remote,3060,22,130,1528.1,896.93,18,0.008,2022,5,501
DigitalGroup,AI,Series G,Belgium,Stable,Remote,1382,15,79,721.8,485.21,16,-0.067,2022,3,395
SmartInnovations,Marketing,Series D,Lithuania,Recovery,Remote,461,8,226,163,133.04,13,-0.046,2021,4,64
NuoDB,Hardware,Series C,Ireland,Recession,Remote,286,4,64,54.2,77.7,9,-0.02,2020,12,34
Viber,Infrastructure,Post-IPO,Netherlands,Recovery,Remote,8618,12,222,1324.8,2603.97,12,-0.007,2021,6,1538
QuantumInnovations,Security,Series H,Canada,Recovery,Office,1563,12,230,1427.1,555.93,18,-0.053,2024,3,323
DataInnovations,Infrastructure,Series I,Ukraine,Downturn,Hybrid,2223,12,114,1597.4,858.66,11,-0.044,2022,5,838
DataGroup,Sales,Series B,Kenya,Recession,Remote,129,6,152,18.5,42.1,14,-0.012,2020,5,24
DigitalSolutions,Manufacturing,Post-IPO,Austria,Downturn,Hybrid,8804,27,122,3299.8,2967.32,13,-0.04,2022,10,1395
Omuni,Retail,Series G,Vietnam,Stable,Office,1338,9,91,496.4,444.83,12,0.004,2023,12,330
DigitalCorp,Retail,Series B,Romania,Stable,Hybrid,171,5,33,29.2,34.7,15,0.027,2024,2,35
AISolutions,Finance,Series C,Luxembourg,Recession,Office,241,8,130,79.7,76.26,15,-0.062,2020,7,65
NexusInc,Infrastructure,Series J,Bulgaria,Stable,Hybrid,2438,17,206,2189.9,636.78,16,0.039,2022,3,649
ApexDynamics,Marketing,Series A,Spain,Downturn,Hybrid,118,2,132,8.1,52.57,12,-0.017,2022,9,28
GlobalLabs,Food,Subsidiary,Finland,Recovery,Hybrid,2593,1,70,380.1,1189.64,8,0.059,2021,1,185
GlobalSolutions,Hardware,Private Equity,France,Stable,Office,4715,37,171,1183.1,990.5,10,0.053,2023,10,609
Otovo,Logistics,Series J,Chile,Downturn,Hybrid,2554,21,197,1623.1,515.3,12,0.061,2022,4,364
NexusTechnologies,Security,Series I,Poland,Recession,Office,2557,17,228,1312.3,595.09,14,0.009,2020,4,778
NexusGroup,Marketing,Series I,Brazil,Downturn,Hybrid,2320,18,198,1221.2,818.3,18,-0.002,2022,8,453
QuantumTechnologies,Retail,Series F,Uruguay,Recession,Hybrid,1274,12,147,350.2,352.74,16,0.008,2020,7,200
Pivo,Legal,Series B,Hungary,Downturn,Hybrid,169,7,34,28.6,28.81,16,0.032,2022,10,48
AISystems,Support,Series E,Seychelles,Downturn,Office,771,13,163,309.5,234.7,20,0.054,2022,8,129
AirMap,Aerospace,Series D,Canada,Recession,Office,591,10,223,101.3,97.3,14,-0.008,2020,8,127
CloudCorp,Consumer,Series G,Denmark,Downturn,Hybrid,1366,15,53,804.3,359.49,15,0.02,2022,9,157
DigitalInc,AI,Series B,Senegal,Recovery,Hybrid,205,5,57,26.1,94.66,12,-0.003,2024,8,34
DataInc,Legal,Series I,South Korea,Downturn,Office,2634,19,202,1490.7,911.65,16,0.044,2022,7,645
NexusLabs,Travel,Series G,United States,Recession,Office,1571,9,21,633.3,580.18,6,-0.058,2023,4,174
Daylight,Media,Series D,United Arab Emirates,Downturn,Remote,489,9,63,150,160.51,11,-0.039,2022,8,131
TechVentures,Crypto,Series I,Ukraine,Downturn,Hybrid,1751,17,114,1299.3,423.66,10,0.019,2022,4,323
Vroom,HR,Series F,Hungary,Recovery,Hybrid,1096,14,34,472.2,300.29,9,0.03,2024,4,132
ApexInnovations,Real Estate,Series G,Seychelles,Recession,Office,1477,13,163,902.4,199.84,12,-0.049,2023,6,313
DigitalInc,Marketing,Series E,Philippines,Downturn,Hybrid,995,8,137,277.9,319.57,14,-0.004,2022,4,222
GlobalCorp,Real Estate,Series G,Hong Kong,Stable,Hybrid,1431,14,92,856.1,410.15,13,-0.016,2023,11,519
Citizen,Travel,Series E,Poland,Downturn,Hybrid,982,6,112,276.8,291.06,13,0.027,2022,6,92
ApexTechnologies,Legal,Series B,Spain,Recession,Hybrid,164,6,13,25.8,23.61,8,0.002,2020,4,29
TechInnovations,Construction,Seed,Indonesia,Downturn,Office,30,2,101,2.9,11.15,12,0.038,2022,12,8
Beat,Healthcare,Series E,Hungary,Stable,Hybrid,769,10,34,307.5,188.96,16,0.042,2023,12,235
DigitalGroup,Support,Post-IPO,Russia,Stable,Hybrid,13556,26,149,4036.4,2256.2,13,-0.019,2023,11,1592
SmartTechnologies,Crypto,Unknown,Uruguay,Downturn,Hybrid,1252,7,147,27.5,409.13,17,0.024,2022,12,199
NexusTechnologies,Food,Series B,Hungary,Recovery,Remote,223,3,34,17,47.12,13,0.028,2021,3,43
SmartInc,Travel,Series J,Nigeria,Recession,Office,1740,16,96,1941.1,660.73,19,0.019,2020,7,359
Consider.co,Real Estate,Seed,Nigeria,Recession,Hybrid,25,1,115,3.8,6.11,9,0.03,2023,3,4
ApexVentures,Unknown,Unknown,Peru,Recovery,Office,415,12,121,9.8,108.65,10,0.028,2024,4,60
Crypto.com,Transportation,Unknown,United States,Recession,Hybrid,744,5,117,68.4,220.34,14,-0.005,2020,3,103
DataLabs,Transportation,Subsidiary,Colombia,Stable,Hybrid,6093,7,24,851.6,939.78,8,-0.001,2023,11,627
TechInc,Transportation,Series H,Sweden,Recession,Office,1907,19,80,760,284.3,10,0.006,2023,6,681
GlobalVentures,Media,Acquired,India,Recovery,Remote,1665,18,172,715.1,648.28,16,0.034,2021,5,191
SmartVentures,Healthcare,Private Equity,United Arab Emirates,Stable,Office,7208,28,63,802.7,1301.36,13,0.057,2023,12,1687
AITechnologies,Manufacturing,Series B,Belgium,Growth,Remote,266,7,32,16.5,43.89,13,-0.018,2021,9,76
GlobalVentures,AI,Series H,Sweden,Recovery,Remote,1821,15,134,1292.7,603.17,20,-0.054,2024,5,293
SmartCorp,Sales,Subsidiary,Nigeria,Downturn,Remote,3687,45,96,777.9,1325.52,15,-0.011,2022,9,836
Divergent 3D,Transportation,Seed,Seychelles,Recovery,Office,20,2,163,3.3,6.51,10,0.008,2024,4,7
Sayurbox,Travel,Series I,Romania,Downturn,Hybrid,1570,18,50,1915.5,216.62,19,0.057,2022,9,289
SmartVentures,Retail,Series A,Colombia,Recovery,Remote,114,2,24,8.4,30.45,15,0.001,2021,4,31
QuantumGroup,Logistics,Series A,Argentina,Recovery,Hybrid,132,4,35,8.9,31.89,7,0.007,2021,5,23
DigitalTechnologies,Fitness,Series F,Uruguay,Recovery,Office,1113,15,147,469.2,205.75,16,-0.045,2024,10,195
SmartTechnologies,Support,Series J,India,Recession,Hybrid,1849,15,45,2267.9,604.15,21,0.033,2023,9,307
Candor Technology,Aerospace,Series B,Greece,Growth,Remote,266,6,7,39.1,80.81,15,0.007,2021,9,54
Healthy.io,Legal,Private Equity,Cayman Islands,Stable,Hybrid,6808,14,40,821.4,1772.26,11,0.061,2023,10,1365
MakerBot,Fitness,Series F,Senegal,Recession,Office,952,8,57,257.2,254.21,10,-0.002,2020,6,126
Guideline,Unknown,Post-IPO,Malaysia,Recession,Office,7114,46,113,2454.6,1781.99,9,-0.034,2020,8,772
ApexLabs,Unknown,Series A,South Africa,Recovery,Remote,126,3,39,10.3,32.08,17,-0.059,2024,8,26
GlobalSolutions,HR,Series F,Poland,Recovery,Remote,920,13,125,426,405.97,10,-0.022,2024,6,113
Sana,Transportation,Acquired,United States,Recession,Hybrid,3306,6,53,524.6,536.76,12,0.034,2020,7,843
Biofourmis,Food,Series H,Israel,Recovery,Hybrid,1965,18,237,1181.4,537.34,13,0.088,2021,5,226
Akili Labs,Manufacturing,Series H,Malaysia,Recession,Hybrid,1797,12,113,722.1,470.41,16,-0.069,2023,8,386
Envoy,Sales,Series E,Mexico,Recovery,Hybrid,865,6,82,307.3,218.01,6,-0.005,2024,4,150
GlobalCorp,Healthcare,Unknown,Peru,Recession,Office,651,5,121,78.4,136.39,7,0.053,2020,5,104
SmartGroup,Education,Acquired,South Africa,Recession,Hybrid,2946,16,39,335.8,1152.27,17,-0.072,2023,6,333
Transmit Security,Food,Private Equity,Australia,Recession,Hybrid,6031,30,29,925.1,1488.45,13,0.046,2020,12,827
PayU,Healthcare,Series D,Ukraine,Recession,Office,617,5,114,145.2,118.52,12,0.035,2020,12,86
CloudInc,Energy,Series E,Hong Kong,Recession,Hybrid,795,7,92,290.2,152.66,12,-0.02,2023,4,89
TikTok India,Energy,Series H,Brazil,Recession,Remote,1597,10,104,703.3,479.04,7,-0.014,2020,8,306
TechCorp,Legal,Series B,Finland,Recovery,Hybrid,187,6,90,26.9,48.37,17,-0.041,2024,12,29
Zest AI,Manufacturing,Private Equity,Czech Republic,Growth,Remote,4628,23,178,1836.6,1302.01,9,0.003,2021,12,1581
SmartDynamics,Retail,Subsidiary,United States,Recovery,Office,6020,4,52,748.1,1152.37,6,0.028,2021,7,919
TechSolutions,Real Estate,Series E,United States,Downturn,Remote,954,12,148,300.3,182.84,12,-0.031,2022,4,123
CrowdRiff,Other,Series E,Ireland,Recession,Hybrid,825,11,54,252.2,357.41,19,-0.035,2023,7,174
ApexLabs,Legal,Series I,Lithuania,Recession,Hybrid,2710,21,226,1601.2,964.71,13,-0.014,2023,7,443
QuantumTechnologies,Healthcare,Post-IPO,Myanmar,Recession,Hybrid,6900,27,236,3093.3,2073.54,15,0.052,2023,7,851
DigitalSystems,Marketing,Series D,Ghana,Recession,Remote,620,6,1,155.7,234.86,16,-0.046,2023,5,50
Color Health,Logistics,Series G,Egypt,Stable,Office,1459,17,37,655.6,479.29,9,0.019,2023,11,411
DataCorp,Unknown,Series J,Belgium,Recession,Remote,2494,13,79,2063.3,554.62,20,-0.031,2023,6,187
QuantumDynamics,Education,Private Equity,United Arab Emirates,Recovery,Remote,5065,27,63,659.3,1068.35,14,-0.019,2021,8,1126
ApexInnovations,Food,Series B,Uruguay,Recovery,Office,139,4,147,38.1,56.13,9,0.062,2024,7,19
SmartGroup,Hardware,Series D,Belgium,Stable,Remote,569,8,32,145.7,153.95,11,0.055,2023,12,168
AIGroup,Fitness,Series F,Greece,Recovery,Hybrid,981,13,7,546.4,193.54,12,-0.048,2024,10,95
Increff,Aerospace,Unknown,Colombia,Recession,Office,1061,4,24,39,202.27,17,-0.022,2020,7,159
TechInnovations,Healthcare,Series C,Ghana,Recession,Office,217,4,1,75.2,50.99,12,0.06,2020,6,55
TechCorp,Data,Series G,India,Recovery,Remote,1925,13,172,632.8,243.05,16,0.032,2021,3,554
Momentive,AI,Series B,Saudi Arabia,Recovery,Hybrid,215,5,186,29,63.46,12,-0.021,2021,3,59
Insider Intelligence,Support,Acquired,Vietnam,Recovery,Hybrid,2569,8,91,470.7,777.67,11,0.051,2021,8,735
AIInc,Manufacturing,Post-IPO,Ukraine,Downturn,Hybrid,11998,21,114,2150.9,4523.38,10,0.012,2022,12,3266
MaxMilhas,Crypto,Unknown,Ghana,Recession,Office,883,8,1,12.8,189.5,10,-0.042,2020,12,146
ALI Technologies,Crypto,Seed,Peru,Recovery,Hybrid,38,2,121,3.2,12.42,12,-0.092,2021,1,9
GlobalInnovations,HR,Series J,Netherlands,Recovery,Office,2401,19,216,1732.3,640.81,7,0.021,2021,5,215
Avaya,Unknown,Unknown,Italy,Recession,Office,1598,9,142,42.7,513.01,9,-0.017,2020,7,415
NexusSolutions,Data,Seed,Romania,Recession,Hybrid,27,2,33,3.2,11.1,9,0.028,2020,5,8
iSpecimen,Transportation,Series C,Peru,Recovery,Hybrid,277,4,121,57.3,77.63,14,0.053,2024,10,43
DigitalLabs,Product,Series A,Peru,Recovery,Remote,94,4,121,11.2,28.23,17,0.015,2021,6,15
